id;start_date;end_date;duration
217;2019-10-16;2019-10-18;2.0
218;2017-09-18;2017-09-23;5.0
219;2018-05-15;2018-05-18;3.0
220;2017-11-28;2017-11-29;1.0
221;2019-11-28;2019-11-29;1.0
222;2012-09-20;2012-09-22;2.0
223;2013-09-19;2013-09-21;2.0
224;2014-09-18;2014-09-19;1.0
225;2015-09-17;2015-09-19;2.0
226;2016-09-22;2016-09-24;2.0
227;2017-09-21;2017-09-23;2.0
228;2019-05-02;2019-05-04;2.0
229;2019-09-26;2019-09-28;2.0
230;2018-10-04;2018-10-06;2.0
231;2015-03-18;2015-03-18;0.0
232;2016-03-17;2016-03-18;1.0
233;2017-03-16;2017-03-16;0.0
234;1996-07-01;1996-07-03;2.0
235;2005-09-04;2005-09-07;3.0
236;2006-09-03;2006-09-06;3.0
237;2007-09-09;2007-09-12;3.0
238;2008-09-14;2008-09-17;3.0
239;2009-09-07;2009-09-09;2.0
240;2010-09-12;2010-09-15;3.0
241;2011-09-04;2011-09-07;3.0
242;2013-07-21;2013-07-23;2.0
243;2014-08-31;2014-09-03;3.0
244;2015-08-30;2015-09-02;3.0
245;1997-09-14;1997-09-17;3.0
246;2016-09-04;2016-09-07;3.0
247;2017-09-10;2017-09-13;3.0
248;2018-09-09;2018-09-12;3.0
249;2019-09-08;2019-09-10;2.0
250;2020-09-06;2020-09-09;3.0
251;1998-09-09;1998-09-12;3.0
252;1999-09-12;1999-09-15;3.0
253;2000-09-10;2000-09-13;3.0
254;2001-07-08;2001-07-10;2.0
255;2002-09-08;2002-09-11;3.0
256;2003-08-31;2003-07-03;-59.0
257;2004-09-05;2004-08-08;-28.0
258;1967-06-08;1967-06-10;2.0
259;2019-03-29;2019-03-30;1.0
261;2007-04-19;2007-04-21;2.0
262;2017-11-03;2017-11-04;1.0
263;2019-05-16;2019-05-18;2.0
264;2008-05-22;2008-05-24;2.0
265;2009-04-19;2009-04-21;2.0
266;2010-04-15;2010-04-17;2.0
267;2011-12-01;2011-12-03;2.0
268;2013-04-25;2013-04-28;3.0
269;2014-04-24;2014-04-27;3.0
270;2015-05-27;2015-05-30;3.0
271;2016-05-11;2016-05-15;4.0
272;2013-07-09;2013-07-12;3.0
273;2015-10-05;2015-10-07;2.0
274;2017-10-18;2017-10-20;2.0
275;2019-10-23;2019-10-25;2.0
276;1965-10-29;1965-10-30;1.0
277;1964-12-04;1964-12-04;0.0
278;1964-09-09;1964-09-11;2.0
279;1965-04-15;1965-04-16;1.0
280;1965-11-04;1965-11-05;1.0
281;1965-01-22;1965-01-23;1.0
282;1965-10-21;1965-10-22;1.0
283;1968-04-15;1968-04-18;3.0
284;1969-06-30;1969-07-02;2.0
285;1979-08-23;1979-08-24;1.0
286;1980-06-16;1980-06-19;3.0
287;1981-05-20;1981-05-22;2.0
288;1983-06-10;1983-06-12;2.0
289;1985-06-22;1985-06-24;2.0
290;1987-07-11;1979-07-13;-2920.0
291;1988-09-07;1988-09-10;3.0
292;2000-03-15;2000-03-17;2.0
293;2009-02-25;2009-02-27;2.0
294;2010-03-03;2010-03-05;2.0
295;2011-03-09;2011-03-11;2.0
296;2012-02-29;2012-03-02;2.0
297;2013-03-06;2013-03-08;2.0
298;2014-02-10;2014-02-12;2.0
299;2001-02-12;2001-02-14;2.0
300;2002-03-20;2002-03-22;2.0
301;2003-02-26;2003-02-28;2.0
302;2004-03-03;2004-03-05;2.0
303;2005-02-17;2005-02-18;1.0
304;2006-02-15;2006-02-17;2.0
305;2007-03-01;2007-03-02;1.0
306;2008-03-05;2008-03-08;3.0
307;2015-07-22;2015-07-24;2.0
308;2016-06-22;2016-06-24;2.0
309;2017-06-12;2017-06-14;2.0
310;2018-06-16;2018-06-18;2.0
311;2013-09-27;2013-09-27;0.0
312;2014-09-26;2014-09-26;0.0
313;2015-09-25;2015-09-25;0.0
314;2016-09-30;2016-09-30;0.0
315;2017-10-21;2017-10-21;0.0
316;2018-09-21;2018-09-21;0.0
317;2019-09-27;2019-09-27;0.0
318;2019-10-15;2019-10-18;3.0
319;2018-03-17;2018-03-17;0.0
320;2019-03-09;2019-03-09;0.0
321;2009-12-01;2009-12-02;1.0
322;2019-12-03;2019-12-06;3.0
323;2010-11-29;2010-11-30;1.0
324;2011-12-01;2011-12-02;1.0
325;2012-11-29;2012-11-30;1.0
326;2014-12-01;2014-12-02;1.0
327;2015-11-30;2015-12-02;2.0
328;2016-12-01;2016-12-03;2.0
329;2017-11-29;2017-12-01;2.0
330;2018-12-18;2018-12-21;3.0
331;2001-11-16;2001-11-17;1.0
332;2010-11-08;2010-11-14;6.0
333;2011-10-10;2011-10-16;6.0
334;2012-11-07;2012-11-10;3.0
335;2013-10-02;2013-10-05;3.0
336;2014-10-22;2014-10-24;2.0
337;2015-10-26;2015-10-31;5.0
338;2016-09-26;2016-09-30;4.0
339;2017-11-11;2017-11-15;4.0
340;2018-09-09;2018-09-13;4.0
341;2019-09-16;2020-09-16;366.0
342;2002-10-11;2002-10-12;1.0
