cluster	size	words
349	48	acier_nom, armature_nom, barreau_nom, branlant_adj, bâti_nom, charpente_nom, châssis_nom, cloison_nom, clou_nom, crampon_nom, crochet_nom, croisillon_nom, desceller_ver, disjoindre_ver, déclouer_ver, fer_nom, fonte_nom, joint_nom, latte_nom, madrier_nom, moellon_nom, montant_nom, mur_nom, muraille_nom, métal_nom, métallique_adj, oxyder_ver, paroi_nom, parpaing_nom, piton_nom, plafond_nom, planche_nom, poutre_nom, poutrelle_nom, rivet_nom, rondin_nom, rouille_nom, rouiller_ver, rouillé_adj, solive_nom, structure_nom, superstructure_nom, trappe_nom, tringle_nom, tôle_nom, vermoulu_adj, échelle_nom, échelon_nom
93	49	accoudoir_nom, baldaquin_nom, banc_nom, banquette_nom, bat, bergère_nom, califourchon_adv, canapé_nom, chaise_nom, chevalet_nom, chevet_nom, coiffeuse_nom, console_nom, couchette_nom, couette_nom, courtepointe_nom, coussin_nom, couverture_nom, divan_nom, drap_nom, escabeau_nom, fauteuil_nom, grabat_nom, lit, lit_nom, literie_nom, matelas_nom, moustiquaire_nom, oreiller_nom, paillasse_nom, pliant_adj, pliant_nom, plumard_nom, pouf_nom, pupitre_nom, rocking, rotin_nom, sellette_nom, siège_nom, sofa_nom, sommier_nom, strapontin_nom, séant_nom, table, tabouret_nom, traversin_nom, trépied_nom, tréteau_nom, édredon_nom
232	49	centième_adj, chacun_pro, chaque_nam, chaque_pro, ci_adv, cinquième_adj, cinquième_nom, dernier_adj, dernier_nom, deux_num, deuxième_nom, deuxième_num, dixième_adj, douzième_adj, huitième_adj, huitième_nom, millième_adj, neuvième_adj, neuvième_nom, neuvième_num, onzième_adj, plusieurs_pro, premier_nom, premier_num, premières_nom, prochain_adj, précédent_adj, quatorzième_num, quatrième_nom, quatrième_num, quelque_pro, quinzième_num, second_nom, second_num, seizième_adj, septième_adj, septième_nom, sixième_nom, sixième_num, suivant_adj, suivantes_nom, treizième_num, trentième_num, trois_num, troisième_nom, troisième_num, unième_num, vingtième_num, énième_adj
129	49	ar, cendres_nam, charogne_nam, dalroth_nam, dévorantes_nam, fange_nam, ferrone_nam, fiel_nam, frères, féal_nam, féal_nom, féals_nam, grif_nam, griffons_nam, guilde, guilde_nam, guilde_nom, hodgson_nam, horvès_nam, izil_nam, khà_nom, lukingias_nam, macula_nom, mages_nom, matrice_nom, matriciel_adj, obscure_nam, ombres_nam, onde_nam, ondes_nam, orbe_nam, orbe_nom, origines_nam, phéniciers_nom, phénix_nam, phénix_nom, prêtresse_nom, ragnes_nom, scorpion_nom, sente_nam, sentes_adj, sigrith_nam, sombre_nam, sombres_nom, squelette_nam, tan_nom, tarent_nam, uhl_nam, vortex_nom
293	49	agenda_nom, album_nom, annoter_ver, bible_nam, bible_nom, bibliothèque_nom, bouquin_nom, brouillon_nom, buvard_nom, cahier_nom, calepin_nom, carnet_nom, cartonner_ver, catalogue_nom, classeur_nom, collection_nom, compulser_ver, crayon_nom, dactylographier_ver, dictionnaire_nom, disquette_nom, document_nom, dossier_nom, encre_nom, encrier_nom, feuillet_nom, feuilleter_ver, fiche_nom, grimoire_nom, illustré_adj, illustré_nom, livre_nom, magazine_nom, manuel_nom, manuscrit_nom, ouvrage_nom, page_nom, paperasse_nom, parchemin_nom, partition_nom, photocopie_nom, plume_nom, recueil_nom, registre_nom, stylo, stylo_nom, texte_nom, volume_nom, écritoire_nom
135	50	abasourdir_ver, ahurir_ver, atterrer_ver, bée_adj, clouer_ver, coi_adj, consterner_ver, convulser_ver, décontenancer_ver, effaré_adj, estomaquer_ver, exorbiter_ver, exorbité_adj, figer_ver, foudroyer_ver, fœtal_adj, gisant_adj, groggy_adj, gésir_ver, gît_ver, hagard_adj, halluciner_ver, halluciné_adj, horrifier_ver, hébéter_ver, hébété_adj, immobile_adj, inanimé_adj, inerte_adj, interloquer_ver, muet_adj, méduser_ver, pantelant_adj, panteler_ver, pantois_adj, paralyser_ver, paralysé_adj, prostrer_ver, pétrifier_ver, révulser_ver, sidérer_ver, silencieux_adj, statufier_ver, stupéfaire_ver, tétaniser_ver, ébahir_ver, éberluer_ver, écarquiller_ver, éjaculer_ver, évanoui_adj
189	50	abbaye_nom, assomption_nam, autel_nom, basilique_nom, burette_nom, bénite_adj, bénitier_nom, catafalque_nom, cathédrale_nom, caveau_nom, cercueil_nom, chapelle_nom, chœur_nom, cierge_nom, cimetière_nom, cloître_nom, couvent_nom, crucifix_nom, crypte_nom, encensoir_nom, funèbre_adj, funéraire_adj, goupillon_nom, hostie_nom, lachaise_nam, lutrin_nom, mausolée_nom, monastère_nom, mortuaire_adj, officiant_nom, oratoire_nom, parvis_nom, pascal_adj, pompe_nom, prie, père, sanctuaire_nom, sarcophage_nom, surplis_nom, sépulcral_adj, sépulcre_nom, sépulture_nom, tabernacle_nom, temple_nom, tombal_adj, tombe_nom, tombeau_nom, édifice_nom, église_nom, épitaphe_nom
128	51	accointance_nom, acoquiner_ver, attacher_ver, batailler_ver, bavarder_ver, causer_ver, cohabiter_ver, commun_adj, communication_nom, communiquer_ver, contact_nom, converser_ver, deviser_ver, discourir_ver, discuter_ver, disputer_ver, disserter_ver, déblatérer_ver, entretenir_ver, flirter_ver, fraterniser_ver, fricoter_ver, instaurer_ver, liaison_nom, lien_nom, lier_ver, mutuellement_adv, médire_ver, pactiser_ver, palabre_nom, palabrer_ver, papoter_ver, parenté_nom, partager_ver, pérorer_ver, rapport_nom, rattacher_ver, relation_nom, relier_ver, renouer_ver, respectif_adj, rompre_ver, réconcilier_ver, rétablir_ver, sympathiser_ver, toast_nom, trinquer_ver, unir_ver, échange_nom, échanger_ver, établir_ver
25	51	altamonte_nam, altesse_nam, altesse_nom, amalfi_nam, angélie_nam, auguste_adj, barbe_nam, causeur_nom, coriolani_nam, coriolani_ver, doria_nam, empereur_nom, excellence_nam, falcone_nam, felice_nam, fulvio_nam, grandeur_nam, grâce_nam, hesse, improvisateur_nom, johann_nam, lorédan_nam, majesté_nam, majesté_nom, majesté_ver, malatesta_nam, maria_nam, mariotto_nam, mayembourg_nam, monarque_nom, monteleone_nam, oberkhampf_nam, pier_nam, porporato_nam, porporato_nom, reine_nom, roi_nom, royale_nam, sampieri_nam, seigneurie_nam, son_nam, souverain_nom, spurzheim_nam, tavola_nam, touchant_prp, trône_nom, votre_nam, weimar_nam, wilhemine_nam, zingara_nom, éminence_nam
132	51	allemand_nam, allemand_nom, allemands_nam, alsacien_nom, américain_nam, américain_nom, américains_nam, anglais_nam, anglais_nom, arabes_nam, argot_nom, autrichien_nam, baragouiner_ver, belges_nam, bulgare_adj, bulgare_nom, chauvin_adj, chinois_nom, couramment_adv, danois_nom, dialecte_nom, espagnol_nam, espagnol_nom, espagnols_nam, français_nam, français_nom, hollandais_nam, hollandais_nom, hongrois_nam, hongrois_nom, idiome_nom, italien_nam, italien_nom, italiens_nam, japonais_nam, japonais_nom, juifs_nam, langue_nom, patois_nom, polonais_nam, polonais_nom, portugais_nom, prussien_nom, romani_nom, roumain_nom, russe_nam, russe_nom, russes_nam, suédois_nam, turc_nom, turcs_nam
123	51	admiration_nom, adoration_nom, affection_nom, affectueux_adj, amitié_nom, amour_nom, amusement_nom, animosité_nom, antipathie_nom, ardent_adj, ardeur_nom, attachement_nom, attendrissement_nom, aversion_nom, confiance_nom, culte_nom, curiosité_nom, douceur_nom, doux_adj, défiance_nom, dévotion_nom, effusion_nom, enthousiasme_nom, enthousiaste_adj, envers_prp, estime_nom, fervent_adj, ferveur_nom, filial_adj, grief_nom, haine_nom, hostile_adj, hostilité_nom, jalousie_nom, maternel_adj, méfiance_nom, passion_nom, passionner_ver, paternel_adj, professer_ver, rancune_nom, rancœur_nom, ressentiment_nom, suspicion_nom, sympathie_nom, tendre_adj, tendresse_nom, vouer_ver, vénération_nom, égard_nom, éloquence_nom
122	51	anonyme_adj, apposer_ver, attestation_nom, bordereau_nom, bristol_nom, cachet_nom, cacheter_ver, carte_nom, cire_nom, conduit_nom, contresigner_ver, correspondance_nom, courrier_nom, destinataire_nom, décacheter_ver, dûment_adv, envoi_nom, expéditeur_nom, facteur_nom, formulaire_nom, identité_nom, laissez, lettre_nom, lettrer_ver, libeller_ver, livret_nom, lut_nom, mandat_nom, missive_nom, parapher_ver, passeport_nom, passer_nom, permis_nom, quittance_nom, recommandé_adj, restant_adj, reçu_nom, sauf, sceau_nom, sceller_ver, scellé_nom, signataire_nom, signer_ver, signé_adj, suscription_nom, timbre_nom, timbrer_ver, visa_nom, écrire_ver, écrivant_nom, épître_nom
257	51	albertine_nam, andrée_nam, argencourt_nam, balbec_nam, basin_nam, bergotte_nam, berma_nam, bloch_nam, bontemps_nam, brichot_nam, bréauté_nam, cambremer_nam, cambremer_ver, charlus_nam, charlus_nom, combray_nam, cottard_nam, courvoisier_nam, doncières_nam, elstir_nam, elstir_ver, euverte_nam, forcheville_nam, féterne_nam, gilberte_adj, gilberte_nam, gilberte_nom, gilberte_ver, guermantes_adj, guermantes_nam, guermantes_nom, jupien_nam, legrandin_nam, marsantes_nam, morel_nam, méséglise_nam, norpois_nam, oriane_nam, patronne_nam, phèdre_nam, raspelière_nom, rivebelle_nam, saniette_nam, swann_nam, tansonville_nam, vaugoubert_nam, verdurin_adj, verdurin_nam, verdurin_nom, villeparisis_nam, vinteuil_nam
325	51	abrutir_ver, absent_adj, amnésique_adj, amorphe_adj, angoisser_ver, anxieux_adj, apathique_adj, attarder_ver, attentif_adj, cuite_nom, distraire_ver, distrait_adj, dolent_adj, droguer_ver, ensommeiller_ver, ensommeillé_adj, euphorique_adj, exténuer_ver, fatiguer_ver, fatigué_adj, fourbu_adj, harasser_ver, harassé_adj, inattentif_adj, indifférent_adj, inquiet_adj, interdit_adj, ivre_adj, jeun_adv, las_adj, maussade_adj, morne_adj, morose_adj, mélancolique_adj, pressent_ver, presser_ver, pressé_adj, préoccupé_adj, saoul_adj, somnambule_adj, somnambulique_adj, somnolent_adj, soucieux_adj, soûl_adj, terne_adj, triste_adj, vanner_ver, égarer_ver, égaré_adj, épuiser_ver, éreinter_ver
70	51	animal_nom, antilope_nom, archer_nam, aurochs_nom, bleu_nam, buffle_nom, bête_nom, carnivore_nom, chacal_nom, chasseur_nom, fauve_adj, fauve_nom, femme, fleuve_nam, furet_nom, félin_adj, garous_nom, guépard_nom, herbivore_adj, homme, hommes, hyène_nom, iguane_nom, lion_nom, loup_nom, loups, louve_nom, lynx_nom, léopard_nom, mammouth_nom, nains_nam, noir_nam, ours_nom, pachyderme_nom, panthère_nom, peaux, renard_nom, rhinocéros_nom, rouges_nam, rouges_nom, sans, saïga_nom, serpents_nom, singes, syges_nom, tigre_nom, tigresse_nom, trapus_nam, trapus_nom, éden_nam, épaules_nam
183	52	absenter_ver, asile_nam, baguenauder_ver, balader_ver, batavia_nam, batifoler_ver, beach_nam, cavaler_ver, censément_adv, colmar_nam, courbevoie_nam, courser_ver, crécher_ver, draguer_ver, déambuler_ver, découcher_ver, défenestrer_ver, déménager_ver, eldorado_nom, emménager_ver, errant_adj, errer_ver, fauché_adj, flâner_ver, folâtrer_ver, fuguer_ver, habiter_ver, héberger_ver, janin_nam, janine_nom, limon_nam, loger_ver, louer_ver, manaus_nom, moorsburg_nam, musarder_ver, nanterre_nam, picorer_ver, promener_ver, pédaler_ver, rôder_ver, siegmaringen_nam, séjourner_ver, tonio_nam, transplanter_ver, vagabond_adj, vagabonder_ver, vaux_nom, zoner_ver, zornhof_nam, ébattre_ver, égailler_ver
14	52	arkansas_nam, barrow_nam, bas, bivouac_nom, bordj_nom, camp_nom, campement_nom, cantonnement_nom, chott_nom, ciudad_nam, creek_nam, danae_nam, danube_nam, djerid_nam, est_adj, est_nom, gabès_nam, garonne_nam, hadjar_nam, hardigan_nam, harlem_nam, horse_nam, hudson_nam, island_nam, lake_nam, long_nam, melrir_nam, mississippi_nam, nord, nord_adj, nord_nom, oasis_nom, ouest_adj, ouest_nom, pistache_nam, regina_nam, rharsa_nam, rhin_nam, river_nam, rock_nam, schaller_nam, sohar_nam, springs_nam, station_nam, stop_nom, sud, sud_adj, sud_nom, tannerie_nom, tente_nom, truck, village_nam
288	52	abondamment_adv, admirablement_adv, adroitement_adv, amazone_nom, amplement_adv, artistement_adv, brillamment_adv, cange_nam, chaudement_adv, content_nom, convenable_adj, convenablement_adv, correct_adj, correctement_adv, dignement_adv, décemment_adv, décent_adj, dégrossir_ver, favorablement_adv, grossièrement_adv, généreusement_adv, habilement_adv, honnêtement_adv, humble_adj, humblement_adv, judicieusement_adv, largement_adv, loyalement_adv, luxueusement_adv, magistralement_adv, magnifiquement_adv, merveille_nom, merveilleusement_adv, modeste_adj, modestement_adv, médiocrement_adv, pauvrement_adv, présentable_adj, remarquablement_adv, richement_adv, royalement_adv, rudimentaire_adj, savamment_adv, singer_ver, sobrement_adv, sommaire_adj, sommairement_adv, somptueusement_adv, superbement_adv, supérieurement_adv, élégamment_adv, équarrir_ver
295	52	alceste_nam, amar_nam, benjamin_nam, berthold_nam, caregga_nam, cercaire_nam, cercaire_nom, chabotte_nam, cissou_nam, clara_nam, coudrier_nam, coudrier_nom, divisionnaire_adj, fraenkhel_nam, gervaise_nam, hadouch_nam, job_nam, julie_nam, jérémy_nam, kabyle_nam, krämer_nam, lapietà_nam, legendre_nam, liesl_nam, louna_nam, loussa_nam, malaussène_nam, malaussène_nom, malek_nam, marty_nam, matthias_nam, mossi_nam, neige_nam, pastor_nam, pastor_nom, postel, risson_nam, silistri_nam, stojil_nam, symboliquement_adv, tayeb_nam, thian_nam, thérèse_nam, titus_nam, tobias_nam, tonton_nam, tonton_nom, verdun_nam, wagner_nam, yasmina_nam, zabo_nam, zèbre_nam
224	53	actif_nom, analyse_nom, annales_nom, anthropométrie_nom, anthropométrique_adj, archives_nom, autopsie_nom, bertillon_nam, bilan_nom, classement_nom, clinique_adj, comptabiliser_ver, conclusion_nom, constat_nom, constatation_nom, devis_nom, diagnostic_nom, documentation_nom, décompte_nom, déduction_nom, désinfection_nom, examen_nom, exhaustif_adj, expertise_nom, facture_nom, greffe_nom, historique_nom, identification_nom, institut_nom, inventaire_nom, investigation_nom, labo_nom, laboratoire_nom, légiste_adj, microfilm_nom, médico, nomenclature_nom, portrait, procès, prélèvement_nom, radiographie_nom, recoupement_nom, relevé_nom, repérage_nom, résultat_nom, sondage_nom, statistique_nom, test_nom, total_nom, verbal_nom, viaur_nam, vidalencque_nam, vérification_nom
190	53	bailler_ver, baver_ver, bruyamment_adv, bâiller_ver, caca_nom, chialer_ver, contorsionner_ver, cracher_ver, dandiner_ver, déféquer_ver, dégueuler_ver, esclaffer_ver, exulter_ver, frétiller_ver, gigoter_ver, glousser_ver, grimacer_ver, hausser_ver, hilarité_nom, hoquet_nom, hoqueter_ver, jubiler_ver, larme_nom, moucher_ver, pipi_nom, pisser_ver, pleurant_nom, pleure_nom, pleurer_nom, pleurer_ver, pleurnicher_ver, pleurs_nom, pouffer_ver, racler_ver, ricaner_ver, rire_ver, roter_ver, sanglot_nom, sanglotant_adj, sangloter_ver, sautiller_ver, soupirer_ver, sourire_ver, suppliant_nom, tortiller_ver, tousser_ver, toussoter_ver, trémousser_ver, uriner_ver, vomir_ver, ébrouer_ver, éructer_ver, éternuer_ver
385	53	argentier_nam, armes_nam, arsac_nam, babylas_nam, batz_nam, bel_nam, ben, bras_nam, bâtard_nam, carlo_nam, cegheïr, chambellan_nam, chasses_nam, cheïkh_nam, chien_nam, court_nom, cristo_nam, dauphin_nam, domingue_nam, elme_nam, fayette_nam, ferronnet_nam, fersen_nam, fort_nam, gerfaut_nam, gerfaut_nom, grand_nam, grandes_nam, haute, indigo_nom, lauzun_nam, legros_nam, loup_nam, louverture_nam, lys_nam, monte, noailles_nam, pol_nam, pourpre_nam, rochambeau_nam, sac, savane_nam, speranza_nam, sturbkern_nam, taureau_nam, tenn_nam, ternay_nam, thocker_nam, tim_nam, tournemine_nom, toussaint, vallée_nam, vendredi_nam
152	53	activer_ver, affairer_ver, arrosage_nom, arrosoir_nom, aspirateur_nom, balai_nom, baquet_nom, bassine_nom, besogner_ver, casseur_nom, chiffon_nom, coudre_nom, coudre_ver, crémaillère_nom, cuisine_nom, cuisinière_nom, enclume_nom, ferrant_nom, forge_nom, forgeron_nom, graisser_ver, hotte_nom, huiler_ver, laveur_nom, lessive_nom, lessiveur_nom, linge_nom, maréchal, meule_nom, moudre_ver, moulin_nom, ménage_nom, ménager_adj, ménagère_nom, noria_nom, percé_adj, plumeau_nom, raccommoder_ver, rafistoler_ver, ravauder_ver, recoudre_ver, repassage_nom, repriser_ver, rouet_nom, seau_nom, serpillière_nom, serviette, soufflet_nom, torchon_nom, tricoter_ver, vaquer_ver, éponge_nom, établi_nom
138	53	akayan_nam, al_nam, althen_nam, arthak_nam, arthak_nom, berco_nam, brégom_nam, deyon_nam, dornhill_nam, drulak_nam, drulak_nom, dwegri_nam, ehud_nom, elledan_nam, enclave_nom, erdoc_nam, espéren_nam, fender_nam, fulgard_nam, furma_nam, gilen_nam, guyar_nam, hurring_nam, jayad_nam, jilder_nam, kalith_nam, lame_nam, lierre_nam, manem_nam, marche_nam, mesculan_nam, naalem_nam, perg_nam, peschar_nam, poldered_nom, prandol_nam, prandolien_nam, recomb_nam, riley_nam, roth_nam, rugyer_nam, rulbeck_nam, sank_nam, sayad_nam, tagan_nam, tagan_nom, tappach_nam, tillour_nam, vallenn_nam, vernom_nam, yaël_nam, yéomon_nam, érudit_nom
356	53	abat, acétylène_nom, ampoule_nom, anémique_adj, applique_nom, bec_nom, blanc, bougeoir_nom, bougie_nom, candélabre_nom, chandelier_nom, chandelle_nom, chichement_adv, clignotant_adj, clignoter_ver, faisceau_nom, falot_adj, falot_nom, fanal_nom, flambeau_nom, fluorescent_adj, fumeux_adj, gaz_nom, lampadaire_nom, lampe_nom, lampion_nom, lanterne_nom, loupiote_nom, luciole_nom, lumignon_nom, luminescent_adj, lustre_nom, néon_nom, parcimonieux_adj, phare_nom, plafonnier_nom, projecteur_nom, pâlot_adj, quinquet_nom, réverbère_nom, spot_nom, suspension_nom, tamiser_ver, torche_nom, torchère_nom, tremble_nom, tremblotant_adj, trembloter_ver, veilleuse_nom, veilleuses_nom, éclairage_nom, électricité_nom, électrique_adj
72	54	année_nom, centième_nom, complètement_adv, demi_adj, demi_adv, demi_nom, dixième_nom, durée_nom, décennie_nom, définitivement_adv, délai_nom, entier_adj, entièrement_adv, fraction_nom, gestation_nom, huitaine_nom, imparfaitement_adv, indéfini_adj, indéterminer_ver, indéterminé_adj, instant_adj, instant_nom, intégralement_adv, intégralité_nom, jour_nom, laps_nom, longtemps_adv, longtemps_nom, lurette_nom, millénaire_nom, minute_nom, mois_nom, moitié_nom, moment_nom, momentanément_adv, partie_nom, partiellement_adv, portion_nom, provisoirement_adv, période_nom, restant_nom, reste_nom, seconde_nom, seconder_ver, secondes_nom, semaine_nom, sursis_nom, temporairement_adv, temps_nom, tiers_nom, totalement_adv, totalité_nom, transitoire_adj, échéance_nom
393	54	acide_adj, acide_nom, acidité_nom, anesthésiant_adj, antiseptique_adj, arsenic_nom, azote_nom, bacille_nom, carbone_nom, carbonique_adj, caustique_adj, chimique_adj, combustion_nom, composé_nom, contaminer_ver, corrosif_adj, curare_nom, cyanure_nom, empoisonner_ver, empoisonné_adj, engrais_nom, formol_nom, hydrogène_nom, incolore_adj, infecter_ver, inoculer_ver, inodore_adj, instiller_ver, intoxiquer_ver, matière_nom, microbe_nom, médication_nom, nocif_adj, nutritif_adj, organique_adj, oxyde_nom, oxygène_nom, pharmaceutique_adj, poison_nom, produit_nom, soporifique_adj, soude_nom, strychnine_nom, stériliser_ver, substance_nom, sulfurique_adj, sérum_nom, toxique_adj, toxique_nom, vaccin_nom, venin_nom, virus_nom, vitamine_nom, éther_nom
390	54	aiguille_nam, andrésy_nam, arsène_nam, aurélie_nam, avenac_nam, averny_nam, beautrelet_nam, boisgenêt_nam, bressacq_nam, bresson_nam, brégeac_nam, béchoux_nam, bérangère_nam, courville_nam, daubrecq_nam, debrioux_nam, dorgeroux_nam, enneris_nom, erlemont_nam, fagerault_nam, ganimard_nam, gorgeret_nam, gorgeret_nom, gosselin_nam, herlock_nam, horace_nam, hortense_nam, houben_nam, jodot_nam, jorancé_nam, kesselbach_nam, lenormand_nam, libertat_nam, lupin_nam, marescal_nam, massignac_nam, meppen_nam, mergy_nam, mongougeot_nam, morestal_nam, orsacq_nam, patricia_nam, raoul_nam, ravenot_nam, rénine_nam, rénine_nom, sernine_nam, sholmès_nam, steinweg_nam, valthex_nam, vanol_nam, velmont_nam, velmot_nam, vorski_nam
134	54	antre_nom, appartenir_ver, arrière, asile_nom, barricader_ver, cachette_nom, calfeutrer_ver, cantonner_ver, claquemurer_ver, cloîtrer_ver, coffre, coffres, double_adj, dépendance_nom, dépositaire_nom, détenir_ver, détenteur_nom, emmurer_ver, enfermer_ver, exister_ver, fort_nom, forts_nom, fuite_nom, gustin_nam, gîte_nom, hermétique_adj, hermétiquement_adv, indestructible_adj, inexpugnable_adj, intouchable_adj, inviolable_adj, isoler_ver, jalousement_adv, murer_ver, possesseur_nom, posséder_ver, quadruple_adj, refuge_nom, reléguer_ver, repaire_nom, retraite_nom, retranchement_nom, retrancher_ver, réfugier_ver, réserve_nom, résider_ver, secret_adj, secret_nom, secrète_nom, secréter_ver, tanière_nom, terrer_ver, triple_adj, étanche_adj
332	54	amenez, appelez, arrêtez, asseyons, avouez, conduisez, croyez, demandez, dis, disons, dites, donne, donnez, dépêchons, emmenez, en_nam, en_nom, entendons, espérons, fais, faisons, faites, gardez, hâtons, laisse, laissons, le_adj, le_nam, le_nom, le_ver, mets, mettez, mettons, montrez, nous_abr, nous_nam, occupons, parle, parlez, passez, prends, prenez, raconte, racontez, rappelle, regarde, regardez, sachez, sors_nom, suis, suivez, tenons, trouve, voyez
312	54	allory_nam, anglarès_nam, antonia_nam, bartlett_nam, belleuse_nam, bouitton_nam, briand_nam, caulet_nam, champcenais_nam, clanricard_nam, clemenceau_nam, coislon_nam, desaugues_nam, desaugues_nom, douvrin_nam, duroure_nam, fachuel_nam, grousson_nam, gurau_nam, haverkamp_nam, jallez_nam, jallez_ver, jaurès_nam, jerphanion_nam, jerphanion_nom, joffre_nam, laulerque_nam, lengnau_nam, lénine_nam, lévy, manifassier_nam, manifassier_nom, mareil_nam, mascot_nam, maykosen_nam, mionnet_nam, nodiard_nam, poincaré_nam, poliapof_nam, pouzols, quinette_nam, rumelles_nom, sammécaud_nam, sampeyre_nam, saxel_nam, sibellus_nam, stefany_nam, strigelius_nam, torchecoul_nam, turpin_nam, valavert_nam, vazar_nam, vorge_nam, vorge_nom
56	54	a_nam, aaki_adj, aaki_nam, aaki_nom, aao, ahan, ahur, ajibki, am, am_nam, boohr, boohr_nom, hi, iksh_nam, inshki, ka_nam, kaän, ki, ki_nam, ki_nom, kï_nam, kï_ver, likki, loh_nom, mooh_nam, nack, niaü, noku, oera_nam, ojbki, oka, oo, oofah_nam, oohkki, oourh, oourham, oourham_nam, ote_nam, ough, ough_nam, pô, row, te, te_nam, te_nom, teshies_nam, tö, uaq_nom, uogh, wuenki, x, á_nam, é, ïen_nam
330	54	altitude_nom, atterrir_ver, atterrissage_nom, avion_nom, aéronef_nom, aéroplane_nom, aéroscaphe_nom, aérostat_nom, ballon_nom, baudruche_nom, boeing_nam, bombardier_nom, boussole_nom, compas_nom, croisière_nom, darwin_nam, dirigeable_nom, décollage_nom, décoller_ver, escadrille_nom, escalator_nom, hydravion_nom, hélico_nom, hélicoptère_nom, hélividus_nom, jules, lancement_nom, locomotif_adj, marin_adj, marine_adj, marine_nom, marines_adj, montgolfière_nom, nacelle_nom, navette_nom, navigation_nom, naviguer_ver, nucléaire_nom, parachute_nom, patinoire_nom, pétrolier_adj, pétrolier_nom, romains_nam, rotatif_adj, sas_nom, scaphandre_nom, scaphandrier_nom, survoler_ver, tonnage_nom, tunnel_nam, téléphérique_nom, verne_nam, vonek_nam, voyager_ver
387	55	accumulateur_nom, appareil_nom, aération_nom, baladeur_adj, balise_nom, baliser_ver, batterie_nom, calandre_nom, calorifère_nom, canalisation_nom, capteur_nom, carburateur_nom, chaudière_nom, chauffage_nom, chaufferie_nom, clignotant_nom, clignotement_nom, diamagnétique_adj, diode_nom, dynamo_nom, défilement_nom, engin_nom, extincteur_nom, gyrophare_nom, générateur_nom, hélice_nom, machine_nom, mazout_nom, pale_nom, parabolique_adj, plasma_nom, plot_nom, pneumatique_adj, propulsion_nom, radiateur_nom, rotor_nom, réacteur_nom, réflecteur_nom, rétro_nom, rétroviseur_nom, signalisation_nom, tubulaire_adj, tubulure_nom, turbine_nom, tuyau_nom, tuyauterie_nom, télescopique_adj, ventilateur_nom, ventilation_nom, vidange_nom, voltaïque_adj, vétusté_nom, échappement_nom, électrode_nom, étanchéité_nom
300	56	acrobate_nom, acrobatie_nom, acrobatique_adj, alpiniste_nom, automate_adj, automate_nom, balançoire_nom, bascule_nom, bond_nom, bowling_nom, cabriole_nom, cerceau_nom, cerf, contorsion_nom, culbute_nom, désarticuler_ver, enjambée_nom, escalade_nom, foulée_nom, fronde_nom, funambule_nom, gymnaste_nom, jouet_nom, joujou_nom, judo_nom, lanceur_nom, lasso_nom, majorette_nom, mannequin_nom, marelle_nom, marionnette_nom, moulinet_nom, mécanique_adj, pantin_nom, para_nom, pirouette_nom, plongeon_nom, poupée_nom, périlleux_adj, quille_nom, roulant_adj, roulette_nom, saut_nom, saute, somnambule_nom, toboggan_nom, toupie_nom, tourniquet_nom, trapéziste_nom, tremplin_nom, volte, volte_nom, volter_ver, yo, émérite_adj, équipier_nom
397	56	alternatif_adj, apesanteur_nom, apnée_nom, boomerang_nom, bâtonnet_nom, centrifuge_adj, compression_nom, cosmique_adj, cosmos_nom, culminant_adj, diaphragme_nom, dédoubler_ver, démultiplier_ver, désintégrer_ver, ectoplasme_nom, espace_nom, fixe_nom, harmonique_adj, imaginaire_adj, immatériel_adj, immortel_nom, impalpable_adj, impensable_adj, imploser_ver, impondérable_adj, incommensurable_adj, indiscernable_adj, infini_adj, infini_nom, intemporel_adj, invisible_adj, kaléidoscope_nom, lévitation_nom, maelström_nom, monde_nom, monochrome_adj, nébuleux_adj, oblitérer_ver, opacifier_ver, parabole_nom, plongée_nom, remontée_nom, résurgence_nom, rétine_nom, stabiliser_ver, stationnaire_adj, sublimer_ver, superposition_nom, surimpression_nom, ténu_adj, uniformité_nom, univers_nom, visibilité_nom, émergence_nom, éternité_nom, éthéré_adj
227	56	acil_nam, adamov_nam, amazonie_nam, aratta_nam, baudenuit_nam, craig_nam, denis_nam, eredan_nam, federico_nam, finlay_nam, finlay_ver, five_nam, fondation_nom, fontanueva_nam, fontorbe_nam, franklin_nam, gail_nam, gail_nom, gursk_nam, ilis_nam, ilis_nom, ilis_ver, irina_nam, kinuyo_nam, kogan_nam, macare_nom, malhorne_nam, malhorne_nom, marcussen_nam, masha_nam, meryl_nam, milos_nam, mélite_nam, méti_nam, prométhée_nam, ramp_nam, revel_nam, rimpoché_nam, sil_nam, sil_nom, snake_nam, spencer_nam, spencer_nom, spencer_ver, staba_nam, stacey_nam, straub_nam, straub_nom, strinker_nam, stuart_nam, stuart_ver, tara_nam, tarer_ver, yurgan_nam, zach_nam, zagul_nam
